"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x4057543582","x1237176787932721152",2020-03-10 00:41:46,"ScienceDawn","We get points for the #2020MMM wildcard! https://t.co/aaR5S3Zdwo","Twitter for iPhone",40,,,,TRUE,FALSE,1,0,"2020MMM",,"twitter.com/pkurnath/statu…","https://t.co/aaR5S3Zdwo","https://twitter.com/pkurnath/status/1237176275388645376",,,,,,,,,,,"en","x1237176275388645376","...AND GETS BLASTED BY STARTLED SKUNK SPRAY!!! (Cantú-Salazar et al. 2004) #2020MMM https://t.co/V3i5ayrIg4",2020-03-10 00:39:44,"Twitter Web App",113,26,"x772396639","PKurnath","Patrice K. Connors",988,841,2837,"","Asst Prof @ColoradoMesaU, Former Adjunct @UUtah & @WeberStateU, Studier of Mammalian Physiology & Ecology, Puppy Enthusiast, Tweets All My Own",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScienceDawn/status/1237176787932721152","Dr. Dawn “Wash Your Hands Frequently” Wiseman","","Trying to figure out how Indigenous/Western ways of knowing, being, doing might coexist. STEM/interdisc teaching learning. UBishops. Abenaki territory. She/her",,FALSE,818,1389,23,15523,33036,2015-10-28 01:58:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/4057543582/1566084501","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1162868796052389888/qMWaCbhl_normal.jpg"
"x4057543582","x1237177183950512128",2020-03-10 00:43:20,"ScienceDawn","@PKurnath #2020MMM night 1: points on the board. https://t.co/477kAVbRxc","Twitter for iPhone",38,"x1237176567383519232","x772396639","PKurnath",FALSE,FALSE,16,0,"2020MMM",,,,,"http://pbs.twimg.com/tweet_video_thumb/EStWFnrWoAEsW4h.jpg","https://t.co/477kAVbRxc","https://twitter.com/ScienceDawn/status/1237177183950512128/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/EStWFnrWoAEsW4h.jpg","https://t.co/477kAVbRxc","https://twitter.com/ScienceDawn/status/1237177183950512128/photo/1",,"x772396639","PKurnath","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScienceDawn/status/1237177183950512128","Dr. Dawn “Wash Your Hands Frequently” Wiseman","","Trying to figure out how Indigenous/Western ways of knowing, being, doing might coexist. STEM/interdisc teaching learning. UBishops. Abenaki territory. She/her",,FALSE,818,1389,23,15523,33036,2015-10-28 01:58:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/4057543582/1566084501","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1162868796052389888/qMWaCbhl_normal.jpg"
"x4057543582","x1237570652149673984",2020-03-11 02:46:51,"ScienceDawn","For those who have not yet finished #2020MMM brackets https://t.co/qRRlbk6BJP","Twitter for iPad",53,,,,TRUE,FALSE,1,0,"2020MMM",,"twitter.com/teaandrobots/s…","https://t.co/qRRlbk6BJP","https://twitter.com/teaandrobots/status/1237401769669537793",,,,,,,,,,,"en","x1237401769669537793","apparently @IKEA bags are a great way to restrain angry swans. I would like to suggest the bags be given a new name to reflect their true usage. something like BYRDKONTAIN or HÖNKHALT https://t.co/GCZFzu9VdO",2020-03-10 15:35:46,"Twitter for Android",22758,6823,"x901311014","teaandrobots","angery foosh <U+0001F41F>",242,259,7648,"","I only care about two things, memes and human rights",FALSE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ScienceDawn/status/1237570652149673984","Dr. Dawn “Wash Your Hands Frequently” Wiseman","","Trying to figure out how Indigenous/Western ways of knowing, being, doing might coexist. STEM/interdisc teaching learning. UBishops. Abenaki territory. She/her",,FALSE,818,1389,23,15523,33036,2015-10-28 01:58:45,FALSE,,,,"https://pbs.twimg.com/profile_banners/4057543582/1566084501","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1162868796052389888/qMWaCbhl_normal.jpg"
"x2523835303","x1237561430225764353",2020-03-11 02:10:12,"LanceHegland","Woot woot!!!  Wild Card Winner: Pygmy Spotted Skunk!  Sample Winner Bracket: https://t.co/aGJrRClLSU #2020MMM @2020MMMletsgo","Twitter Web App",124,,,,FALSE,FALSE,2,0,"2020MMM",,"tinyurl.com/uwe849t","https://t.co/aGJrRClLSU","https://tinyurl.com/uwe849t",,,,,,,,,"x3070386906","2020MMMletsgo","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/LanceHegland/status/1237561430225764353","Lance Hegland","Minneapolis, Minnesota","#IndependentLiving #Innovation around #Disability #Aging using #CivicOrganizing #SocEnt #SocInn #HumanCentered #Design.","http://t.co/ZEC43MoSoa",FALSE,166,670,11,276,95,2014-05-26 01:13:29,FALSE,"http://t.co/ZEC43MoSoa","http://www.linkedin.com/in/lancehegland/",,"https://pbs.twimg.com/profile_banners/2523835303/1582675776","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/470737627474165760/O7SrI4Ms_normal.jpeg"
"x394879847","x1237552216803667969",2020-03-11 01:33:35,"NYCuratrix","@Mammals_Suck #2020MMM is going to get us through this epidemic.","Twitter for iPhone",50,"x1237551161172877313","x378259736","Mammals_Suck",FALSE,FALSE,18,1,"2020MMM",,,,,,,,,,,,,"x378259736","Mammals_Suck","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NYCuratrix/status/1237552216803667969","Susan Perkins","New York, NY","Martin & Michele Cohen Dean of Science at @CityCollegeNY @DivofScience. I am an evolutionary microbiologist and I love board games. Tweets my own. she/her","https://t.co/bkgMSewJ11",FALSE,6197,2645,187,37047,18453,2011-10-20 19:34:17,FALSE,"https://t.co/bkgMSewJ11","http://www.susanperkins.net",,"https://pbs.twimg.com/profile_banners/394879847/1578276732","http://abs.twimg.com/images/themes/theme10/bg.gif","http://pbs.twimg.com/profile_images/1201855012755976192/AUK3K3mv_normal.jpg"
"x1233402640920436736","x1237551312788578305",2020-03-11 01:30:00,"MaddieGarrison6","@MsMichaelBio @2020MMMletsgo #2020MMM https://t.co/l1wi0OEJBo","Twitter for iPhone",37,,"x861751343287062533","MsMichaelBio",FALSE,FALSE,2,0,"2020MMM",,,,,"http://pbs.twimg.com/media/ESyqWgnU0AEniXl.jpg","https://t.co/l1wi0OEJBo","https://twitter.com/MaddieGarrison6/status/1237551312788578305/photo/1","photo","http://pbs.twimg.com/media/ESyqWgnU0AEniXl.jpg","https://t.co/l1wi0OEJBo","https://twitter.com/MaddieGarrison6/status/1237551312788578305/photo/1",,"x861751343287062533 x3070386906","MsMichaelBio 2020MMMletsgo","und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MaddieGarrison6/status/1237551312788578305","Maddie Garrison","","I made this account because my teacher made me.",,FALSE,1,3,0,2,0,2020-02-28 14:44:52,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1233402640920436736","x1236861572582199297",2020-03-09 03:49:13,"MaddieGarrison6","Go Grandidler’s ‘Mongoose’! @MsMichaelBio @2020MMMletsgo #2020MMM","Twitter for iPhone",65,,,,FALSE,FALSE,2,0,"2020MMM",,,,,,,,,,,,,"x861751343287062533 x3070386906","MsMichaelBio 2020MMMletsgo","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MaddieGarrison6/status/1236861572582199297","Maddie Garrison","","I made this account because my teacher made me.",,FALSE,1,3,0,2,0,2020-02-28 14:44:52,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1237023350817460224","x1237536336736686080",2020-03-11 00:30:29,"MsTWhiting","Already told my students all the ways my Amoeba is going to take down their Animals. #TeamAmoeba #2020MMM https://t.co/WZcVsjVbr5","Twitter for iPhone",105,,,,FALSE,FALSE,4,1,"TeamAmoeba 2020MMM",,,,,"http://pbs.twimg.com/media/ESycu7tUMAQkJzr.jpg","https://t.co/WZcVsjVbr5","https://twitter.com/MsTWhiting/status/1237536336736686080/photo/1","photo","http://pbs.twimg.com/media/ESycu7tUMAQkJzr.jpg","https://t.co/WZcVsjVbr5","https://twitter.com/MsTWhiting/status/1237536336736686080/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MsTWhiting/status/1237536336736686080","Tiffany Whiting","Myrtle Beach, SC","6th Grade Science Teacher @ Forestbrook Middle School",,FALSE,0,1,0,1,5,2020-03-09 14:32:12,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x793524025246879744","x1237521714658983938",2020-03-10 23:32:23,"Ms_H_3to8","@geneticmaize @Mammals_Suck @2020MMMletsgo They love it! This is a huge event for us and they love the hallway being filled with #2020MMM  stuff!","Twitter for Android",102,"x1237481034465320965","x11183312","geneticmaize",FALSE,FALSE,2,0,"2020MMM",,,,,,,,,,,,,"x11183312 x378259736 x3070386906","geneticmaize Mammals_Suck 2020MMMletsgo","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ms_H_3to8/status/1237521714658983938","Karen Hodge","Manitoba, Canada","Out in the country educating young minds... trying to stay in the loop!",,FALSE,11,46,0,50,238,2016-11-01 18:44:05,FALSE,,,,,,"http://pbs.twimg.com/profile_images/831660883348701188/5g6ktNj3_normal.jpg"
"x2808249157","x1237517730015666176",2020-03-10 23:16:33,"leydibeltran10","21 Años. #<U+2764><U+FE0F> 
Gracias Dios Por Permitirme Cumplir un año más de vida, Solo te pido SALUD, VIDA, AMOR, PAZ, TRANQUILIDAD y ARMONÍA De lo demás me encargo yo <U+0001F605> 10-03-2020<U+0001F387> @leydibeltran10 
#happyBirthay #2020MMM #party https://t.co/zMykI5vLd2","Twitter for iPhone",216,,,,FALSE,FALSE,1,0,"happyBirthay 2020MMM party",,,,,"http://pbs.twimg.com/media/ESyLzoRUEAAJJrR.jpg","https://t.co/zMykI5vLd2","https://twitter.com/leydibeltran10/status/1237517730015666176/photo/1","photo","http://pbs.twimg.com/media/ESyLzoRUEAAJJrR.jpg","https://t.co/zMykI5vLd2","https://twitter.com/leydibeltran10/status/1237517730015666176/photo/1",,"x2808249157","leydibeltran10","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/leydibeltran10/status/1237517730015666176","Judith <U+0001F342>","Cumaral, Colombia","Instagram: https://t.co/cGGtOx89qO #LibertadFinanciera<U+0001F49C>Travel<U+0001F929> Magia <U+0001F4AB>@smile girl<U+0001F342> Quieres Ganar dinero desde casa <U+0001F447> con tu WhatsApp","https://t.co/LX4vJzFDZ4",FALSE,21,307,0,497,1340,2014-09-13 21:55:35,FALSE,"https://t.co/LX4vJzFDZ4","http://bit.ly/39n9sWP",,"https://pbs.twimg.com/profile_banners/2808249157/1580488201","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1237516719930761216/dTDtYJyG_normal.jpg"
